participant,country:1,nativelang:1,bl_experiment:1,word_familiarity:1,feedback:1,PROLIFIC_PID,STUDY_ID,SESSION_ID,TIME_start,TIME_end,TIME_total
s.6dfe81c1-4290-4cb0-b762-2b62276396b4.txt,1,1,Rosch7_Final.2022-11-24-1008.data.6dfe81c1-4290-4cb0-b762-2b62276396b4.txt,3,"",60e55bb59cfd0aa9803b4470,637f2ac7f6c1f58ea63eeae1,637f2f0872424308332f4fee,2022-11-24-09-45,2022-11-24-10-08,23,
s.120b6e6b-37e0-4021-9ccb-28c9795ec4eb.txt,2,2,Rosch7_Final.2022-11-24-1027.data.120b6e6b-37e0-4021-9ccb-28c9795ec4eb.txt,3,"",6299dc2997f47665304008b7,637f2ac7f6c1f58ea63eeae1,637f2ec3b7fb7dcb422b2a09,2022-11-24-09-44,2022-11-24-10-27,43,
s.1511d81c-e04b-4fed-8967-8058e8f35f78.txt,1,1,Rosch7_Final.2022-11-24-1008.data.1511d81c-e04b-4fed-8967-8058e8f35f78.txt,2,Didn't know some names were a term for some objects.,59ba7072b06d2b0001583e33,637f2ac7f6c1f58ea63eeae2,637f2e606804f95551030be9,2022-11-24-09-42,2022-11-24-10-08,26,
s.de1592ad-0f5b-4dde-923a-e8703e87d474.txt,1,1,Rosch7_Final.2022-11-24-1010.data.de1592ad-0f5b-4dde-923a-e8703e87d474.txt,2,"",614a144baf10bcf4807d2652,637f2ac7f6c1f58ea63eeae2,637f2d8a5bcf1e7bf6030bba,2022-11-24-09-42,2022-11-24-10-11,29,
s.6170529f-29bd-4b97-b800-d14eb78a7f9c.txt,1,1,Rosch7_Final.2022-11-24-1012.data.6170529f-29bd-4b97-b800-d14eb78a7f9c.txt,2,"",577d9254c6144900014a0083,637f2ac7f6c1f58ea63eeae2,637f2ddd67372e1bef2f4ffe,2022-11-24-09-40,2022-11-24-10-13,33,
s.054de82a-7835-4f1b-83b3-af17e39d7d41.txt,1,1,Rosch7_Final.2022-11-24-1014.data.054de82a-7835-4f1b-83b3-af17e39d7d41.txt,2,"",55f2786632af7400051704aa,637f2ac7f6c1f58ea63eeae2,637f2e9e62fbfac49e969bfb,2022-11-24-09-43,2022-11-24-10-14,31,
s.e3b607e0-6916-4ba8-bd19-ab668922f3b8.txt,1,1,Rosch7_Final.2022-11-24-1038.data.e3b607e0-6916-4ba8-bd19-ab668922f3b8.txt,3,"",5ec509f11a1793424f0b8ee4,637f2ac7f6c1f58ea63eeae1,637f2e56f8b7a7822bd9e175,2022-11-24-09-50,2022-11-24-10-38,48,
s.cf54b2bc-0a1e-4ba2-b365-ffca72e64215.txt,2,2,Rosch7_Final.2022-11-24-1000.data.cf54b2bc-0a1e-4ba2-b365-ffca72e64215.txt,2,"",610427f727bda2e1bb54085e,637f2ac7f6c1f58ea63eeae2,637f2d7d27622c6b292b2a42,2022-11-24-09-39,2022-11-24-10-00,21,
s.cf80aa70-b278-413a-b6aa-9809ca09433d.txt,1,1,Rosch7_Final.2022-11-24-1008.data.cf80aa70-b278-413a-b6aa-9809ca09433d.txt,2,"",5c28d36b6fbaed00010847a8,637f2ac7f6c1f58ea63eeae1,637f2f60551954419de37a9a,2022-11-24-09-46,2022-11-24-10-08,22,
s.48c5ec77-ccdd-42d7-9ca4-95199ba994fc.txt,1,1,Rosch7_Final.2022-11-24-1017.data.48c5ec77-ccdd-42d7-9ca4-95199ba994fc.txt,3,"",5ba3be96258e340001cebb06,637f2ac7f6c1f58ea63eeae1,637f2fa1a166a3765d9b9c45,2022-11-24-09-47,2022-11-24-10-17,30,
s.e7d2b7c7-696e-44a8-8d7a-052fd9297eb6.txt,1,1,Rosch7_Final.2022-11-24-1014.data.e7d2b7c7-696e-44a8-8d7a-052fd9297eb6.txt,3,"",57bafa6cc308ca00014527c2,637f2ac7f6c1f58ea63eeae2,637f2ce8f07e2a82f0b377f9,2022-11-24-09-36,2022-11-24-10-14,38,
s.e0aa6604-dd5f-4a5a-9316-20c0e04630b8.txt,1,1,Rosch7_Final.2022-11-24-1022.data.e0aa6604-dd5f-4a5a-9316-20c0e04630b8.txt,3,"",60d6e4277e58667c5ce46f7f,637f2ac7f6c1f58ea63eeae1,637f2fbf64879cee5493059a,2022-11-24-09-49,2022-11-24-10-23,34,
