participant,country,nativelang,bl_experiment,word_familiarity,feedback,INFOSCREEN,TIME_start,TIME_end,TIME_total
s.6dfe81c1-4290-4cb0-b762-2b62276396b4.txt,3061,3061,"",6756,6756,0,2022-11-24-09-45,2022-11-24-10-08,23
s.120b6e6b-37e0-4021-9ccb-28c9795ec4eb.txt,6799,6799,"",8289,8289,0,2022-11-24-09-44,2022-11-24-10-27,43
s.1511d81c-e04b-4fed-8967-8058e8f35f78.txt,3484,3484,"",23985,23985,0,2022-11-24-09-42,2022-11-24-10-08,26
s.de1592ad-0f5b-4dde-923a-e8703e87d474.txt,6098,6098,"",13027,13027,0,2022-11-24-09-42,2022-11-24-10-11,29
s.6170529f-29bd-4b97-b800-d14eb78a7f9c.txt,4743,4743,"",7875,7875,0,2022-11-24-09-40,2022-11-24-10-13,33
s.054de82a-7835-4f1b-83b3-af17e39d7d41.txt,5375,5375,"",10012,10012,0,2022-11-24-09-43,2022-11-24-10-14,31
s.e3b607e0-6916-4ba8-bd19-ab668922f3b8.txt,5716,5716,"",7945,7945,0,2022-11-24-09-50,2022-11-24-10-38,48
s.cf54b2bc-0a1e-4ba2-b365-ffca72e64215.txt,6197,6197,"",9598,9598,0,2022-11-24-09-39,2022-11-24-10-00,21
s.cf80aa70-b278-413a-b6aa-9809ca09433d.txt,2669,2669,"",3959,3959,0,2022-11-24-09-46,2022-11-24-10-08,22
s.48c5ec77-ccdd-42d7-9ca4-95199ba994fc.txt,5035,5035,"",7383,7383,0,2022-11-24-09-47,2022-11-24-10-17,30
s.e7d2b7c7-696e-44a8-8d7a-052fd9297eb6.txt,6164,6164,"",15463,15463,0,2022-11-24-09-36,2022-11-24-10-14,38
s.e0aa6604-dd5f-4a5a-9316-20c0e04630b8.txt,9040,9040,"",22171,22171,0,2022-11-24-09-49,2022-11-24-10-23,34
